issue,date,numbers,digits
2026092,2026-04-12,76120,5
2026093,2026-04-13,99876,5
2026094,2026-04-14,93811,5
2026095,2026-04-15,56819,5
2026096,2026-04-16,64391,5
2026097,2026-04-17,22682,5
2026098,2026-04-18,97435,5
2026099,2026-04-19,42414,5
2026100,2026-04-20,20758,5
2026101,2026-04-21,09033,5
2026102,2026-04-22,49026,5
2026103,2026-04-23,90120,5
2026104,2026-04-24,78670,5
2026105,2026-04-25,21763,5
2026106,2026-04-26,34399,5
2026107,2026-04-27,15413,5
2026108,2026-04-28,65638,5
2026109,2026-04-29,08812,5
2026110,2026-04-30,34304,5
2026111,2026-05-01,87790,5
2026112,2026-05-02,65293,5
2026113,2026-05-03,92585,5
2026114,2026-05-04,01773,5
2026115,2026-05-05,33301,5
2026116,2026-05-06,95143,5
2026117,2026-05-07,09128,5
2026118,2026-05-08,27231,5
2026119,2026-05-09,22219,5
2026120,2026-05-10,29648,5
2026121,2026-05-11,04033,5
2026122,2026-05-12,74761,5
2026123,2026-05-13,95512,5
2026124,2026-05-14,78532,5
2026125,2026-05-15,86721,5
2026126,2026-05-16,83526,5
2026127,2026-05-17,93603,5
2026128,2026-05-18,51228,5
2026129,2026-05-19,68331,5
2026130,2026-05-20,07013,5
2026131,2026-05-21,96841,5
2026132,2026-05-22,44350,5
2026133,2026-05-23,54370,5
2026134,2026-05-24,51533,5
2026135,2026-05-25,93925,5
2026136,2026-05-26,46623,5
2026137,2026-05-27,54436,5
2026138,2026-05-28,26356,5
2026139,2026-05-29,19811,5
2026140,2026-05-30,42178,5
2026141,2026-05-31,21582,5
2026142,2026-06-01,91617,5
2026143,2026-06-02,74400,5
2026144,2026-06-03,46265,5
2026145,2026-06-04,99300,5
2026146,2026-06-05,15492,5
2026147,2026-06-06,59053,5
2026148,2026-06-07,06562,5
2026149,2026-06-08,32533,5
2026150,2026-06-09,34071,5
2026151,2026-06-10,98394,5
2026152,2026-06-11,15148,5
2026153,2026-06-12,38949,5
2026154,2026-06-13,47386,5
2026155,2026-06-14,48547,5
2026156,2026-06-15,64170,5
2026157,2026-06-16,83034,5
2026158,2026-06-17,91133,5
2026159,2026-06-18,55760,5
2026160,2026-06-19,55164,5
2026161,2026-06-20,56205,5
2026162,2026-06-21,36963,5
2026163,2026-06-22,34649,5
2026164,2026-06-23,71572,5
2026165,2026-06-24,29449,5
2026166,2026-06-25,22950,5
2026167,2026-06-26,01231,5
2026168,2026-06-27,19274,5
2026169,2026-06-28,88473,5
2026170,2026-06-29,41772,5
2026171,2026-06-30,04817,5
2026172,2026-07-01,77115,5
2026173,2026-07-02,25975,5
2026174,2026-07-03,15766,5
2026175,2026-07-04,83813,5
2026176,2026-07-05,58481,5
2026177,2026-07-06,82670,5
2026178,2026-07-07,83799,5
2026179,2026-07-08,39623,5
2026180,2026-07-09,00572,5
2026181,2026-07-10,12444,5
2026182,2026-07-11,31340,5
2026183,2026-07-12,35262,5
2026184,2026-07-13,14246,5
2026185,2026-07-14,78579,5
2026186,2026-07-15,66501,5
2026187,2026-07-16,08678,5
2026188,2026-07-17,60770,5
2026189,2026-07-18,95065,5
2026190,2026-07-19,55408,5
2026191,2026-07-20,06989,5
2026192,2026-07-21,30614,5
2026193,2026-07-22,18068,5
2026194,2026-07-23,70106,5
2026195,2026-07-24,59516,5
2026196,2026-07-25,72632,5
2026197,2026-07-26,47341,5
2026198,2026-07-27,71907,5
