issue,date,numbers,digits
2026092,2026-04-12,870,3
2026093,2026-04-13,518,3
2026094,2026-04-14,418,3
2026095,2026-04-15,022,3
2026096,2026-04-16,689,3
2026097,2026-04-17,818,3
2026098,2026-04-18,513,3
2026099,2026-04-19,877,3
2026100,2026-04-20,414,3
2026101,2026-04-21,584,3
2026102,2026-04-22,420,3
2026103,2026-04-23,661,3
2026104,2026-04-24,482,3
2026105,2026-04-25,631,3
2026106,2026-04-26,928,3
2026107,2026-04-27,278,3
2026108,2026-04-28,671,3
2026109,2026-04-29,195,3
2026110,2026-04-30,379,3
2026111,2026-05-01,863,3
2026112,2026-05-01,065,3
